"listing_id","suburb","tipo","quartos","banheiros","camas","hospedes","dias_calendario","preco_medio","limpeza","min_noites","n_reviews","guest_favorite","instant_book","professional","superhost","star_rating","months_host"
"1257312272803306995","Meia Praia","apartamento","2","2","2","4","82","545.21","369","0","8","false","true","true","false","4.75","1"
"31945494","Meia Praia","apartamento","3","2","4","8","70","544","100","0","32","false","true","false","false","4.78","11"
"1209010210831577821","Centro","apartamento","3","3","4","8","77","1082.66","350","0","0","false","false","false","false","0","1"
"46690986","Meia Praia","apartamento","3","2","3","8","91","1315.26","250","0","9","false","false","false","false","5","1"
"45822839","Meia Praia","apartamento","2","1","3","5","78","457.31","150","0","8","false","true","false","true","5","2"
"53936201","Meia Praia","apartamento","3","2","3","6","43","739.52","417","0","34","false","true","true","false","4.76","0"
"51785337","Morretes","apartamento","2","2","4","6","56","322.63","200","0","9","true","false","false","false","5","5"
"986565062867231257","Meia Praia","outros","1","1","2","2","89","239.27","20","0","23","false","true","false","false","4.78","0"
"53280496","Centro","apartamento","3","2","5","7","35","382.15","260","0","12","true","false","false","false","5","11"
"1191386301072209798","Centro","apartamento","1","1","2","4","73","604.83","190","0","22","true","true","true","false","4.86","1"
"17570590","Meia Praia","apartamento","4","3","6","10","68","1522.84","420","0","45","true","false","true","true","4.82","10"
"800942299109284552","Morretes","apartamento","2","2","5","5","55","319.11","100","0","22","true","false","false","true","4.86","0"
"42335961","Meia Praia","apartamento","3","2","5","8","85","627.34","250","0","17","true","false","false","false","4.94","10"
"16644316","Meia Praia","apartamento","3","2","3","8","67","818.24","300","0","12","false","false","false","false","5","0"
"821920276390293366","Meia Praia","apartamento","3","4","5","8","48","671.14","250","0","19","true","false","false","true","5","9"
"797261187302809924","Centro","apartamento","2","2","2","5","75","555.27","250","0","15","true","false","false","true","5","8"
"44192417","Meia Praia","apartamento","2","2","4","7","39","339.77","250","0","6","true","true","false","false","5","2"
"21734892","Centro","apartamento","3","2","6","8","68","776.31","250","0","37","true","false","false","true","4.92","1"
"36632832","Meia Praia","apartamento","3","2","5","8","74","554.05","250","0","41","true","false","false","false","4.85","6"
"754141022905987471","Meia Praia","apartamento","3","2","4","8","80","740","250","0","15","true","false","false","true","4.93","0"
"21324331","Meia Praia","apartamento","2","1","4","6","34","783.71","100","0","195","true","true","false","true","4.9","3"
"1208757710030861160","Centro","apartamento","1","1","1","2","87","387.36","150","0","4","false","true","true","false","5","1"
"41193865","Meia Praia","apartamento","3","2","4","7","74","416.08","250","0","46","false","false","false","false","4.72","0"
"40400432","Ilhota","apartamento","3","2","5","8","64","586.53","250","0","34","false","false","false","false","4.82","1"
"52266549","Morretes","apartamento","3","2","7","8","77","681.17","300","0","14","false","false","false","false","4.79","2"
"21280090","Meia Praia","apartamento","3","2","5","8","64","835.12","150","0","36","true","false","false","true","5","11"
"841394344184198064","Centro","apartamento","3","4","3","8","31","661.29","290","0","39","true","false","false","false","4.9","1"
"1318315111310867765","Morretes","apartamento","2","2","2","4","81","752.75","300","0","2","false","true","false","true","5","3"
"1054265461023254222","Meia Praia","apartamento","1","1","2","4","67","516.87","200","0","5","true","true","false","false","5","0"
"18506998","Centro","apartamento","2","2","3","4","20","366.05","180","0","29","true","false","false","true","5","5"
"807400945391416643","Centro","apartamento","4","3","6","12","41","654.49","250","0","39","true","false","false","true","4.9","8"
"942057172413556286","Meia Praia","outros","1","1","1","1","39","100","0","0","14","true","false","false","false","5","5"
"771134836709283777","Meia Praia","apartamento","3","2","3","8","15","357.8","250","0","10","false","true","false","false","4.2","3"
"41634696","Sertaozinho","casa","3","2","3","8","84","502.67","0","0","22","false","false","false","false","4.59","0"
"35826155","Meia Praia","apartamento","2","2","3","6","20","590","250","0","32","false","false","false","true","4.91","6"
"50243281","Meia Praia","apartamento","3","3","3","6","35","513.6","350","0","10","true","false","false","false","5","7"
"1313064371372817918","Centro","apartamento","1","1","2","4","98","1003.47","190","0","2","false","true","true","false","5","1"
"22335276","Canto da Praia","casa","3","3","3","8","67","713.11","0","0","21","true","false","false","false","4.95","0"
"29114516","Meia Praia","apartamento","3","2","4","5","36","352.78","200","0","33","true","false","false","false","4.91","3"
"753566944813003124","Centro","apartamento","1","2","2","3","96","575.97","200","0","15","true","true","false","true","4.93","10"
"732572931172602640","Alto Sao Bento","apartamento","1","2","1","4","63","291.43","0","0","14","false","false","false","false","4.86","1"
"801611117719633492","Meia Praia","apartamento","2","2","2","6","67","470.09","250","0","9","true","false","false","false","5","0"
"985445004274818605","Centro","outros","1","1","1","2","59","165.11","0","0","19","true","true","false","true","5","3"
"850931966820064700","Meia Praia","apartamento","3","3","4","7","59","803.92","300","0","18","true","false","false","true","5","11"
"1004496327455456339","Morretes","apartamento","2","2","3","6","81","391.14","300","0","16","true","false","false","true","5","4"
"37487828","Meia Praia","apartamento","3","2","6","8","49","455.86","250","0","96","true","false","false","true","4.98","5"
"47783121","Centro","apartamento","2","2","4","6","52","431.82","250","0","9","true","false","false","false","4.89","11"
"1053851019443958006","Centro","apartamento","2","2","3","5","90","600.53","300","0","15","true","false","false","true","4.87","0"
"1266717192483343855","Meia Praia","apartamento","2","2","4","6","62","600","250","0","2","false","false","false","false","5","3"
"32234626","Meia Praia","casa","3","2","2","6","38","402.37","283","0","44","true","false","true","true","4.93","11"
"1249371220066552412","Centro","apartamento","1","1","2","4","69","601.13","180","0","12","true","true","true","false","4.92","1"
"15732070","Meia Praia","apartamento","3","3","4","6","63","779.84","240","0","40","false","false","false","true","4.95","2"
"26708551","Centro","apartamento","3","2","7","10","72","548.95","60","0","361","false","true","true","true","4.83","0"
"27910707","Centro","apartamento","3","3","3","6","81","1557.27","200","0","10","false","true","false","false","4.7","11"
"1030981527494824971","Morretes","apartamento","2","2","2","5","27","311.7","150","0","21","true","false","false","true","5","1"
"47909482","Meia Praia","apartamento","3","3","6","12","67","901.4","350","0","26","true","true","false","true","5","0"
"780872235421635957","Meia Praia","apartamento","2","2","3","7","44","515.24","180","0","7","true","false","false","false","5","9"
"40794806","none","casa","1","1","1","2","52","700.01","0","0","41","true","true","true","true","5","1"
"1199996219082185363","Morretes","apartamento","2","1","2","5","65","222.57","0","0","12","false","<NA>","","false","4.67","5"
"1153493820067017135","Centro","apartamento","2","2","3","4","57","405.47","357","0","4","false","true","true","false","5","0"
"769009482417170004","Morretes","apartamento","1","1","4","4","75","577.63","250","0","17","true","false","false","true","4.94","1"
"1066545050089987954","Meia Praia","apartamento","2","1","3","6","81","466.67","200","0","5","true","true","false","false","5","0"
