"listing_id","suburb","tipo","quartos","banheiros","camas","hospedes","n_noites","preco_medio","limpeza","min_noites","n_reviews","guest_favorite","instant_book","professional","superhost","star_rating","months_host"
"51990592","Meia Praia","apartamento","3","2","7","12","60","954.88","250","0","44","true","false","true","true","4.93","4"
"26895628","Meia Praia","apartamento","4","3","5","12","97","966.36","300","0","99","false","false","false","false","4.8","5"
"22231120","Ilhota","apartamento","1","1","2","4","80","334.46","100","0","62","true","true","false","true","4.97","0"
"809946874989632205","Sertao do Trombudo","casa","1","1","1","2","75","380.01","150","0","24","true","true","false","true","5","11"
"51405106","Meia Praia","apartamento","3","3","5","8","195","894.08","280","0","32","false","false","false","true","4.88","5"
"1249919049392818339","Meia Praia","apartamento","1","1","1","2","222","602.79","250","0","9","true","true","true","false","5","1"
"963916345061155113","Meia Praia","apartamento","3","3","7","13","105","1360.83","300","0","18","true","false","true","true","5","4"
"639216644351145145","Meia Praia","apartamento","5","5","6","14","16","962.5","450","0","29","true","true","false","true","4.97","4"
"718922870189236806","Meia Praia","apartamento","5","4","5","16","29","2182.76","500","0","13","true","false","false","false","5","3"
"673825002694927178","Meia Praia","apartamento","3","4","3","8","110","796","300","0","9","true","false","false","true","5","2"
"792184367926408145","Meia Praia","apartamento","2","2","3","6","106","385.14","230","0","23","true","true","false","false","5","0"
"610155932497817911","Canto da Praia","apartamento","2","1","3","5","195","518","200","0","85","true","false","true","true","4.88","0"
"40351988","Meia Praia","apartamento","3","2","4","7","141","364.72","200","0","35","true","false","false","true","4.91","0"
"894985131313802009","Meia Praia","apartamento","3","2","3","8","173","679.44","484","0","6","false","true","true","false","4.33","1"
"46048941","Meia Praia","apartamento","2","2","4","6","34","371.82","250","0","58","false","false","false","true","4.91","0"
"46550767","Meia Praia","apartamento","3","2","5","8","141","757.95","200","0","42","true","false","false","false","4.81","1"
"549056203343531816","Meia Praia","apartamento","3","2","5","8","86","554.46","200","0","24","true","false","false","true","5","11"
"47269826","Meia Praia","apartamento","3","3","3","7","36","670.85","400","0","28","true","false","false","true","5","7"
"1257312272803306995","Meia Praia","apartamento","2","2","2","4","210","559","369","0","8","false","true","true","false","4.75","1"
"31945494","Meia Praia","apartamento","3","2","4","8","165","575.62","100","0","32","false","true","false","false","4.78","11"
"1209010210831577821","Centro","apartamento","3","3","4","8","77","1082.66","350","0","0","false","false","false","false","0","1"
"45889892","Meia Praia","apartamento","2","2","4","6","151","624.53","250","0","58","true","false","false","true","4.98","2"
"45822839","Meia Praia","apartamento","2","1","3","5","183","455.36","150","0","8","false","true","false","true","5","2"
"53143021","Meia Praia","apartamento","2","3","4","6","49","639.65","250","0","14","false","true","false","false","4.71","2"
"53936201","Meia Praia","apartamento","3","2","3","6","102","772.45","417","0","34","false","true","true","false","4.76","0"
"42704327","Centro","apartamento","3","3","5","8","205","1290.89","300","0","9","false","false","false","false","5","10"
"51785337","Morretes","apartamento","2","2","4","6","141","319.64","200","0","9","true","false","false","false","5","5"
"986565062867231257","Meia Praia","outros","1","1","2","2","89","239.27","20","0","23","false","true","false","false","4.78","0"
"53280496","Centro","apartamento","3","2","5","7","61","383.66","260","0","12","true","false","false","false","5","11"
"1191386301072209798","Centro","apartamento","1","1","2","4","180","593.15","190","0","22","true","true","true","false","4.86","1"
"17570590","Meia Praia","apartamento","4","3","6","10","114","1560.25","420","0","45","true","false","true","true","4.82","10"
"800942299109284552","Morretes","apartamento","2","2","5","5","134","323.24","100","0","22","true","false","false","true","4.86","0"
"40191152","Meia Praia","apartamento","4","5","4","10","76","1999.75","250","0","6","false","true","false","false","5","1"
"42335961","Meia Praia","apartamento","3","2","5","8","204","612.38","250","0","17","true","false","false","false","4.94","10"
"16644316","Meia Praia","apartamento","3","2","3","8","67","818.24","300","0","12","false","false","false","false","5","0"
"821920276390293366","Meia Praia","apartamento","3","4","5","8","125","671.81","250","0","19","true","false","false","true","5","9"
"797261187302809924","Centro","apartamento","2","2","2","5","191","551.23","250","0","15","true","false","false","true","5","8"
"44192417","Meia Praia","apartamento","2","2","4","7","39","339.77","250","0","6","true","true","false","false","5","2"
"863830918159371125","Casa Branca","apartamento","3","1","5","6","67","329.46","60","0","44","false","true","true","true","4.73","0"
"36632832","Meia Praia","apartamento","3","2","5","8","191","576.92","250","0","41","true","false","false","false","4.85","6"
"11044577","Centro","apartamento","1","1","1","4","55","384.62","306","0","26","false","true","false","false","4.38","11"
"21324331","Meia Praia","apartamento","2","1","4","6","93","797.97","100","0","195","true","true","false","true","4.9","3"
"1208757710030861160","Centro","apartamento","1","1","1","2","206","389.29","150","0","4","false","true","true","false","5","1"
"41193865","Meia Praia","apartamento","3","2","4","7","152","410.9","250","0","46","false","false","false","false","4.72","0"
"40400432","Ilhota","apartamento","3","2","5","8","64","586.53","250","0","34","false","false","false","false","4.82","1"
"52266549","Morretes","apartamento","3","2","7","8","180","661.46","300","0","14","false","false","false","false","4.79","2"
"21280090","Meia Praia","apartamento","3","2","5","8","158","825.95","150","0","36","true","false","false","true","5","11"
"841394344184198064","Centro","apartamento","3","4","3","8","89","662.82","290","0","39","true","false","false","false","4.9","1"
"1318315111310867765","Morretes","apartamento","2","2","2","4","81","752.75","300","0","2","false","true","false","true","5","3"
"1054265461023254222","Meia Praia","apartamento","1","1","2","4","166","534.02","200","0","5","true","true","false","false","5","0"
